Table_1,,,,,,,,,,
Table 1: Attribute-level BBQ results for Llama-2-Chat-7B (%). Each cell reports s_DIS/s_AMB.,,,,,,,,,,
Method,Age,Disab.,Gender,Nation.,Physical,Race,Religion,SES,Sex. orient.,MMLU ¡ü
Original,4.52/11.86,-4.97/-1.69,1.89/0.78,3.91/4.94,13.72/4.79,0.70/0.07,10.14/9.68,10.43/7.57,-8.04/-1.17,47.14
DePrompt,0.49/5.54,-8.73/-9.25,-4.30/-1.39,3.70/3.85,5.38/-4.13,1.50/-0.13,11.45/11.99,11.74/3.53,-1.47/4.68,47.14
Self-Debiasing,6.23/10.50,-10.27/-12.44,-2.84/-4.04,4.17/2.12,4.37/-5.62,0.90/0.77,9.65/10.34,5.31/3.38,-6.59/-0.56,46.66
SentenceDebias,4.34/12.73,-4.69/-2.48,-1.65/-0.86,5.07/2.96,8.47/3.41,1.53/0.51,6.97/7.84,9.93/8.90,-5.37/-0.98,47.32
INLP,3.47/11.72,-4.90/-4.83,-3.26/1.05,3.86/5.75,11.53/5.22,1.02/0.09,8.97/8.78,9.00/10.44,-6.54/2.92,47.05
DAMA,4.50/10.94,-4.40/-1.94,2.06/0.32,5.81/3.98,13.77/5.35,1.98/-0.02,10.40/8.43,10.64/8.02,-3.79/-0.52,47.35
CDA,1.14/2.15,-0.40/1.90,-0.38/0.25,3.76/2.82,1.01/-1.24,0.80/0.13,2.53/2.57,3.45/-0.52,0.00/-0.64,46.05
FairMed,0.35/0.07,-0.64/-0.76,-0.25/-0.19,-0.98/1.01,0.85/-1.75,0.39/0.00,-1.19/-1.29,0.75/-0.48,0.00/0.32,47.14
MG-DAS,0.21/0.55,-0.83/-0.28,0.42/0.17,0.92/0.89,0.74/0.26,0.31/0.03,3.01/2.58,0.68/0.32,-3.28/0.48,46.60
,,,,,,,,,,
Table_2,,,,,,,,,,
Table 2: Ablation results on nine BBQ attributes for Llama-2-Chat-7B. All variants use the same frozen test split,,,,,,,,,,
Method,K,|s_DIS|,|s_AMB|,Acc_DIS,MMLU,,,,,
Original,0,6.48,4.73,61.69,47.14,,,,,
"Probe, K_max=1",1,3.93,2.81,65.2,47.01,,,,,
"Response, K_max=1",1,2.36,1.76,65.37,46.96,,,,,
MG-DAS w/o Cert.,3,1.84,1.12,68.02,46.73,,,,,
"Full MG-DAS, K_max=3",2.22,1.16,0.62,69.37,46.6,,,,,
,,,,,,,,,,
Table_3,,,,,,,,,,
Table 3: Attribute-level BBQ results for Llama-2-Chat-13B (%). Each cell reports sDIS/sAMB.,,,,,,,,,,
Method,Age,Physical Appearance,Religion,MMLU ¡ü,,,,,,
Original,12.88/23.59,8.41/12.96,5.57/8.45,53.55,,,,,,
FairMed,-1.61/1.81,0.53/1.05,0.37/-2.33,53.55,,,,,,
MG-DAS,1.53/2.58,0.42/0.98,0.80/2.30,53.00,,,,,,
,,,,,,,,,,
Table_4,,,,,,,,,,
Table 4: Signed BBQ scores for Llama-2-Chat-7B. Open circles mark reversals relative to the original model.,,,,,,,,,,
attribute,original_sDIS,fairmed_sDIS,mgdas_sDIS,original_sAMB,fairmed_sAMB,mgdas_sAMB,,,,
Age,4.52,0.35,0.21,11.86,0.07,0.55,,,,
Disability,-4.97,-0.64,-0.83,-1.69,-0.76,-0.28,,,,
Gender,1.89,-0.25,0.42,0.78,-0.19,0.17,,,,
Nationality,3.91,-0.98,0.92,4.94,1.01,0.89,,,,
Physical appearance,13.72,0.85,0.74,4.79,-1.75,0.26,,,,
Race/ethnicity,0.7,0.39,0.31,0.07,0,0.03,,,,
Religion,10.14,-1.19,3.01,9.68,-1.29,2.58,,,,
SES,10.43,0.75,0.68,7.57,-0.48,0.32,,,,
Sexual orientation,-8.04,0,-3.28,-1.17,0.32,0.48,,,,
,,,,,,,,,,
Table_5,,,,,,,,,,
Table 5: StereoSet bias-utility results after benchmark-specific selection. Lower deviation and higher LMS are preferred.,,,,,,,,,,
setting,attribute,method,LMS,SS,,,,,,
Intersentence,Gender,Original,68.18,68.6,,,,,,
Intersentence,Gender,FairMed,55.53,52.12,,,,,,
Intersentence,Gender,MG-DAS,55.74,51.83,,,,,,
Intersentence,Race,Original,67.83,58.4,,,,,,
Intersentence,Race,FairMed,52,53.11,,,,,,
Intersentence,Race,MG-DAS,59.8,54.43,,,,,,
Intersentence,Religion,Original,70.51,66.67,,,,,,
Intersentence,Religion,FairMed,53.81,55.23,,,,,,
Intersentence,Religion,MG-DAS,57.27,56.32,,,,,,
Intrasentence,Gender,Original,96.47,72.16,,,,,,
Intrasentence,Gender,FairMed,64.21,52.88,,,,,,
Intrasentence,Gender,MG-DAS,70.85,56.92,,,,,,
Intrasentence,Race,Original,98.44,65.49,,,,,,
Intrasentence,Race,FairMed,62.11,53.04,,,,,,
Intrasentence,Race,MG-DAS,69.74,51.72,,,,,,
Intrasentence,Religion,Original,97.47,64.56,,,,,,
Intrasentence,Religion,FairMed,63.85,52.61,,,,,,
Intrasentence,Religion,MG-DAS,71.29,54.73,,,,,,
